name,iata,icao,country,lat,lon
Virginia Beach Oceana Naval Air Station,NTU,KNTU,United States,36.824867,-76.027893
Visakhapatnam Airport,VTZ,VOVZ,India,17.721161,83.22448
Visalia Municipal Airport,VIS,KVIS,United States,36.319443,-119.39389
Visby Airport,VBY,ESSV,Sweden,57.662788,18.34621
Viseu Airport,VSE,LPVZ,Portugal,40.725498,-7.88899
Vitebsk Vostochny Airport,VTB,UMII,Belarus,55.126499,30.34963
Vitoria Airport,VIT,LEVT,Spain,42.882832,-2.72446
Vitoria Da Conquista Airport,VDC,SBVC,Brazil,-14.909978,-40.917465
Vitoria Eurico de Aguiar Salles Airport,VIX,SBVT,Brazil,-20.257999,-40.286301
Vladivostok International Airport,VVO,UHWW,Russia,43.398949,132.147995
Vlora International Airport,VLO,LAVL,Albania,40.605442,19.426104
